ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Ti26 1a     0.78137   0.00000   0.50000   1.00000   0.00000  
Ti28 1a     0.84387   0.00000   0.50000   1.00000   0.00000  
Ti30 1a     0.90637   0.00000   0.50000   1.00000   0.00000  
Ti32 1a     0.96887   0.00000   0.50000   1.00000   0.00000  
Ti17 1a     0.03137   0.00000   0.50000   1.00000   0.00000  
Ti19 1a     0.09387   0.00000   0.50000   1.00000   0.00000  
O54  1a     0.14075   0.25000   0.50000   1.00000   0.00000  
O56  1a     0.20325   0.25000   0.50000   1.00000   0.00000  
O58  1a     0.26575   0.25000   0.50000   1.00000   0.00000  
O60  1a     0.32825   0.25000   0.50000   1.00000   0.00000  
O62  1a     0.39075   0.25000   0.50000   1.00000   0.00000  
O64  1a     0.45325   0.25000   0.50000   1.00000   0.00000  
O34  1a     0.51575   0.25000   0.50000   1.00000   0.00000  
O36  1a     0.57825   0.25000   0.50000   1.00000   0.00000  
O38  1a     0.64075   0.25000   0.50000   1.00000   0.00000  
O40  1a     0.70325   0.25000   0.50000   1.00000   0.00000  
O42  1a     0.76575   0.25000   0.50000   1.00000   0.00000  
O44  1a     0.82825   0.25000   0.50000   1.00000   0.00000  
O46  1a     0.89075   0.25000   0.50000   1.00000   0.00000  
O48  1a     0.95325   0.25000   0.50000   1.00000   0.00000  
O50  1a     0.01574   0.25000   0.50000   1.00000   0.00000  
O52  1a     0.07824   0.25000   0.50000   1.00000   0.00000  
O24  1a     0.17200   0.75000   0.50000   1.00000   0.00000  
O26  1a     0.23450   0.75000   0.50000   1.00000   0.00000  
O28  1a     0.29700   0.75000   0.50000   1.00000   0.00000  
O30  1a     0.35950   0.75000   0.50000   1.00000   0.00000  
O32  1a     0.42200   0.75000   0.50000   1.00000   0.00000  
O2   1a     0.48450   0.75000   0.50000   1.00000   0.00000  
O4   1a     0.54700   0.75000   0.50000   1.00000   0.00000  
O6   1a     0.60950   0.75000   0.50000   1.00000   0.00000  
O8   1a     0.67200   0.75000   0.50000   1.00000   0.00000  
O10  1a     0.73450   0.75000   0.50000   1.00000   0.00000  
O12  1a     0.79700   0.75000   0.50000   1.00000   0.00000  
O14  1a     0.85950   0.75000   0.50000   1.00000   0.00000  
O16  1a     0.92200   0.75000   0.50000   1.00000   0.00000  
O18  1a     0.98450   0.75000   0.50000   1.00000   0.00000  
O20  1a     0.04700   0.75000   0.50000   1.00000   0.00000  
O22  1a     0.10949   0.75000   0.50000   1.00000   0.00000  
O37  1a     0.14075   0.75000   0.50000   1.00000   0.00000  
O39  1a     0.20325   0.75000   0.50000   1.00000   0.00000  
O41  1a     0.26575   0.75000   0.50000   1.00000   0.00000  
O43  1a     0.32825   0.75000   0.50000   1.00000   0.00000  
O45  1a     0.39075   0.75000   0.50000   1.00000   0.00000  
O47  1a     0.45325   0.75000   0.50000   1.00000   0.00000  
O49  1a     0.51575   0.75000   0.50000   1.00000   0.00000  
O51  1a     0.57825   0.75000   0.50000   1.00000   0.00000  
O53  1a     0.64075   0.75000   0.50000   1.00000   0.00000  
O55  1a     0.70325   0.75000   0.50000   1.00000   0.00000  
O57  1a     0.76575   0.75000   0.50000   1.00000   0.00000  
O59  1a     0.82825   0.75000   0.50000   1.00000   0.00000  
O61  1a     0.89075   0.75000   0.50000   1.00000   0.00000  
O63  1a     0.95325   0.75000   0.50000   1.00000   0.00000  
O33  1a     0.01574   0.75000   0.50000   1.00000   0.00000  
O35  1a     0.07824   0.75000   0.50000   1.00000   0.00000  
O7   1a     0.17200   0.25000   0.50000   1.00000   0.00000  
O9   1a     0.23450   0.25000   0.50000   1.00000   0.00000  
O11  1a     0.29700   0.25000   0.50000   1.00000   0.00000  
O13  1a     0.35950   0.25000   0.50000   1.00000   0.00000  
O15  1a     0.42200   0.25000   0.50000   1.00000   0.00000  
O17  1a     0.48450   0.25000   0.50000   1.00000   0.00000  
O19  1a     0.54700   0.25000   0.50000   1.00000   0.00000  
O21  1a     0.60950   0.25000   0.50000   1.00000   0.00000  
O23  1a     0.67200   0.25000   0.50000   1.00000   0.00000  
O25  1a     0.73450   0.25000   0.50000   1.00000   0.00000  
O27  1a     0.79700   0.25000   0.50000   1.00000   0.00000  
O29  1a     0.85950   0.25000   0.50000   1.00000   0.00000  
O31  1a     0.92200   0.25000   0.50000   1.00000   0.00000  
O1   1a     0.98450   0.25000   0.50000   1.00000   0.00000  
O3   1a     0.04700   0.25000   0.50000   1.00000   0.00000  
O5   1a     0.10949   0.25000   0.50000   1.00000   0.00000  
O69  1a     0.12512   0.50000   0.00000   1.00000   0.00000  
O71  1a     0.18762   0.50000   0.00000   1.00000   0.00000  
O73  1a     0.25012   0.50000   0.00000   1.00000   0.00000  
O75  1a     0.31262   0.50000   0.00000   1.00000   0.00000  
O77  1a     0.37512   0.50000   0.00000   1.00000   0.00000  
O79  1a     0.43762   0.50000   0.00000   1.00000   0.00000  
O66  1a     0.50012   0.50000   0.00000   1.00000   0.00000  
O68  1a     0.56262   0.50000   0.00000   1.00000   0.00000  
O70  1a     0.62512   0.50000   0.00000   1.00000   0.00000  
O72  1a     0.68762   0.50000   0.00000   1.00000   0.00000  
O74  1a     0.75012   0.50000   0.00000   1.00000   0.00000  
O76  1a     0.81262   0.50000   0.00000   1.00000   0.00000  
O78  1a     0.87512   0.50000   0.00000   1.00000   0.00000  
O80  1a     0.93762   0.50000   0.00000   1.00000   0.00000  
O65  1a     0.00012   0.50000   0.00000   1.00000   0.00000  
O67  1a     0.06262   0.50000   0.00000   1.00000   0.00000  
O85  1a     0.15637   0.00000   0.00000   1.00000   0.00000  
O87  1a     0.21887   0.00000   0.00000   1.00000   0.00000  
O89  1a     0.28137   0.00000   0.00000   1.00000   0.00000  
O91  1a     0.34387   0.00000   0.00000   1.00000   0.00000  
O93  1a     0.40637   0.00000   0.00000   1.00000   0.00000  
O95  1a     0.46887   0.00000   0.00000   1.00000   0.00000  
O82  1a     0.53137   0.00000   0.00000   1.00000   0.00000  
O84  1a     0.59387   0.00000   0.00000   1.00000   0.00000  
O86  1a     0.65637   0.00000   0.00000   1.00000   0.00000  
O88  1a     0.71887   0.00000   0.00000   1.00000   0.00000  
O90  1a     0.78137   0.00000   0.00000   1.00000   0.00000  
O92  1a     0.84387   0.00000   0.00000   1.00000   0.00000  
O94  1a     0.90637   0.00000   0.00000   1.00000   0.00000  
O96  1a     0.96887   0.00000   0.00000   1.00000   0.00000  
O81  1a     0.03137   0.00000   0.00000   1.00000   0.00000  
O83  1a     0.09387   0.00000   0.00000   1.00000   0.00000  

Distorted superstructure 
a=89.47749, b=5.59234, c=3.91655, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb7  1a     0.15637   0.49583   0.00000   1.00000   0.02332  
Pb9  1a     0.21887   0.55131   0.00000   1.00000   0.28694  
Pb11 1a     0.28137   0.59897   0.00000   1.00000   0.55347  
Pb13 1a     0.34387   0.63157   0.00000   1.00000   0.73578  
Pb15 1a     0.40637   0.64413   0.00000   1.00000   0.80602  
Pb2  1a     0.46887   0.63476   0.00000   1.00000   0.75362  
Pb4  1a     0.53137   0.60487   0.00000   1.00000   0.58647  
Pb6  1a     0.59387   0.55901   0.00000   1.00000   0.33001  
Pb8  1a     0.65637   0.50417   0.00000   1.00000   0.02332  
Pb10 1a     0.71887   0.44869   0.00000   1.00000   0.28694  
Pb12 1a     0.78137   0.40103   0.00000   1.00000   0.55347  
Pb14 1a     0.84387   0.36843   0.00000   1.00000   0.73578  
Pb16 1a     0.90637   0.35587   0.00000   1.00000   0.80602  
Pb1  1a     0.96887   0.36524   0.00000   1.00000   0.75362  
Pb3  1a     0.03137   0.39513   0.00000   1.00000   0.58647  
Pb5  1a     0.09387   0.44099   0.00000   1.00000   0.33001  
Pb21 1a     0.12512  -0.03221   0.00000   1.00000   0.18013  
Pb23 1a     0.18762   0.02403   0.00000   1.00000   0.13438  
Pb25 1a     0.25012   0.07661   0.00000   1.00000   0.42843  
Pb27 1a     0.31262   0.11753   0.00000   1.00000   0.65726  
Pb29 1a     0.37512   0.14055   0.00000   1.00000   0.78600  
Pb31 1a     0.43762   0.14218   0.00000   1.00000   0.79512  
Pb18 1a     0.50012   0.12216   0.00000   1.00000   0.68316  
Pb20 1a     0.56262   0.08354   0.00000   1.00000   0.46718  
Pb22 1a     0.62512   0.03221   0.00000   1.00000   0.18013  
Pb24 1a     0.68762  -0.02403   0.00000   1.00000   0.13438  
Pb26 1a     0.75012  -0.07661   0.00000   1.00000   0.42843  
Pb28 1a     0.81262  -0.11753   0.00000   1.00000   0.65726  
Pb30 1a     0.87512  -0.14055   0.00000   1.00000   0.78600  
Pb32 1a     0.93762  -0.14218   0.00000   1.00000   0.79512  
Pb17 1a     0.00012  -0.12216   0.00000   1.00000   0.68316  
Pb19 1a     0.06262  -0.08354   0.00000   1.00000   0.46718  
Ti5  1a     0.12512   0.48808   0.50000   1.00000   0.06666  
Ti7  1a     0.18762   0.54168   0.50000   1.00000   0.23309  
Ti9  1a     0.25012   0.58894   0.50000   1.00000   0.49738  
Ti11 1a     0.31262   0.62266   0.50000   1.00000   0.68596  
Ti13 1a     0.37512   0.63771   0.50000   1.00000   0.77012  
Ti15 1a     0.43762   0.63179   0.50000   1.00000   0.73702  
Ti2  1a     0.50012   0.60580   0.50000   1.00000   0.59167  
Ti4  1a     0.56262   0.56371   0.50000   1.00000   0.35629  
Ti6  1a     0.62512   0.51192   0.50000   1.00000   0.06666  
Ti8  1a     0.68762   0.45832   0.50000   1.00000   0.23309  
Ti10 1a     0.75012   0.41106   0.50000   1.00000   0.49738  
Ti12 1a     0.81262   0.37734   0.50000   1.00000   0.68596  
Ti14 1a     0.87512   0.36229   0.50000   1.00000   0.77012  
Ti16 1a     0.93762   0.36821   0.50000   1.00000   0.73702  
Ti1  1a     0.00012   0.39420   0.50000   1.00000   0.59167  
Ti3  1a     0.06262   0.43629   0.50000   1.00000   0.35629  
Ti21 1a     0.15637   0.01517   0.50000   1.00000   0.08484  
Ti23 1a     0.21887   0.06659   0.50000   1.00000   0.37239  
Ti25 1a     0.28137   0.10787   0.50000   1.00000   0.60324  
Ti27 1a     0.34387   0.13273   0.50000   1.00000   0.74227  
Ti29 1a     0.40637   0.13739   0.50000   1.00000   0.76833  
Ti31 1a     0.46887   0.12112   0.50000   1.00000   0.67734  
Ti18 1a     0.53137   0.08642   0.50000   1.00000   0.48329  
Ti20 1a     0.59387   0.03856   0.50000   1.00000   0.21564  
Ti22 1a     0.65637  -0.01517   0.50000   1.00000   0.08484  
Ti24 1a     0.71887  -0.06659   0.50000   1.00000   0.37239  
Ti26 1a     0.78137  -0.10787   0.50000   1.00000   0.60324  
Ti28 1a     0.84387  -0.13273   0.50000   1.00000   0.74227  
Ti30 1a     0.90637  -0.13739   0.50000   1.00000   0.76833  
Ti32 1a     0.96887  -0.12112   0.50000   1.00000   0.67734  
Ti17 1a     0.03137  -0.08642   0.50000   1.00000   0.48329  
Ti19 1a     0.09387  -0.03856   0.50000   1.00000   0.21564  
O54  1a     0.14097   0.28990   0.50000   1.00000   0.22404  
O56  1a     0.20342   0.33705   0.50000   1.00000   0.48706  
O58  1a     0.26585   0.37094   0.50000   1.00000   0.67641  
O60  1a     0.32824   0.38642   0.50000   1.00000   0.76291  
O62  1a     0.39067   0.38114   0.50000   1.00000   0.73341  
O64  1a     0.45309   0.35588   0.50000   1.00000   0.59228  
O34  1a     0.51553   0.31451   0.50000   1.00000   0.36127  
O36  1a     0.57800   0.26332   0.50000   1.00000   0.07765  
O38  1a     0.64051   0.21010   0.50000   1.00000   0.22412  
O40  1a     0.70306   0.16295   0.50000   1.00000   0.48709  
O42  1a     0.76563   0.12906   0.50000   1.00000   0.67642  
O44  1a     0.82822   0.11358   0.50000   1.00000   0.76291  
O46  1a     0.89082   0.11886   0.50000   1.00000   0.73341  
O48  1a     0.95340   0.14412   0.50000   1.00000   0.59228  
O50  1a     0.01596   0.18549   0.50000   1.00000   0.36127  
O52  1a     0.07848   0.23668   0.50000   1.00000   0.07740  
O24  1a     0.17220   0.81472   0.50000   1.00000   0.36240  
O26  1a     0.23464   0.85603   0.50000   1.00000   0.59310  
O28  1a     0.29706   0.88120   0.50000   1.00000   0.73374  
O30  1a     0.35946   0.88640   0.50000   1.00000   0.76280  
O32  1a     0.42188   0.87083   0.50000   1.00000   0.67580  
O2   1a     0.48430   0.83687   0.50000   1.00000   0.48612  
O4   1a     0.54676   0.78968   0.50000   1.00000   0.22290  
O6   1a     0.60925   0.73645   0.50000   1.00000   0.07889  
O8   1a     0.67178   0.68528   0.50000   1.00000   0.36245  
O10  1a     0.73434   0.64397   0.50000   1.00000   0.59312  
O12  1a     0.79693   0.61880   0.50000   1.00000   0.73374  
O14  1a     0.85952   0.61360   0.50000   1.00000   0.76280  
O16  1a     0.92211   0.62917   0.50000   1.00000   0.67580  
O18  1a     0.98468   0.66313   0.50000   1.00000   0.48609  
O20  1a     0.04722   0.71032   0.50000   1.00000   0.22282  
O22  1a     0.10973   0.76355   0.50000   1.00000   0.07864  
O37  1a     0.14051   0.78990   0.50000   1.00000   0.22412  
O39  1a     0.20306   0.83705   0.50000   1.00000   0.48709  
O41  1a     0.26563   0.87094   0.50000   1.00000   0.67642  
O43  1a     0.32822   0.88642   0.50000   1.00000   0.76291  
O45  1a     0.39082   0.88114   0.50000   1.00000   0.73341  
O47  1a     0.45340   0.85588   0.50000   1.00000   0.59228  
O49  1a     0.51596   0.81451   0.50000   1.00000   0.36127  
O51  1a     0.57848   0.76332   0.50000   1.00000   0.07740  
O53  1a     0.64097   0.71010   0.50000   1.00000   0.22404  
O55  1a     0.70342   0.66295   0.50000   1.00000   0.48706  
O57  1a     0.76585   0.62906   0.50000   1.00000   0.67641  
O59  1a     0.82824   0.61358   0.50000   1.00000   0.76291  
O61  1a     0.89067   0.61886   0.50000   1.00000   0.73341  
O63  1a     0.95309   0.64412   0.50000   1.00000   0.59228  
O33  1a     0.01553   0.68549   0.50000   1.00000   0.36127  
O35  1a     0.07800   0.73668   0.50000   1.00000   0.07765  
O7   1a     0.17178   0.31472   0.50000   1.00000   0.36245  
O9   1a     0.23434   0.35603   0.50000   1.00000   0.59312  
O11  1a     0.29693   0.38120   0.50000   1.00000   0.73374  
O13  1a     0.35952   0.38640   0.50000   1.00000   0.76280  
O15  1a     0.42211   0.37083   0.50000   1.00000   0.67580  
O17  1a     0.48468   0.33687   0.50000   1.00000   0.48609  
O19  1a     0.54722   0.28968   0.50000   1.00000   0.22282  
O21  1a     0.60973   0.23645   0.50000   1.00000   0.07864  
O23  1a     0.67220   0.18528   0.50000   1.00000   0.36240  
O25  1a     0.73464   0.14397   0.50000   1.00000   0.59310  
