ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.99219,1.99219,-0.01301), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
O7   1a     0.20558   0.80110   0.51301   1.00000   0.38858  
O39  1a     0.23685   0.32275   0.51301   1.00000   0.48566  
O9   1a     0.26814   0.84394   0.51301   1.00000   0.58994  
O41  1a     0.29938   0.36508   0.51301   1.00000   0.69718  
O11  1a     0.33069   0.88448   0.51301   1.00000   0.80021  
O43  1a     0.36187   0.40187   0.51301   1.00000   0.89030  
O13  1a     0.39335   0.90014   0.51301   1.00000   0.88750  
O45  1a     0.42456   0.38293   0.51301   1.00000   0.79586  
O15  1a     0.45576   0.86388   0.51301   1.00000   0.69541  
O47  1a     0.48702   0.34336   0.51301   1.00000   0.59275  
O17  1a     0.51829   0.82238   0.51301   1.00000   0.49323  
O49  1a     0.54957   0.30099   0.51301   1.00000   0.40271  
O19  1a     0.58084   0.77957   0.51301   1.00000   0.33058  
O51  1a     0.61212   0.25781   0.51301   1.00000   0.29248  
O21  1a     0.64339   0.73585   0.51301   1.00000   0.30206  
O53  1a     0.67468   0.21380   0.51301   1.00000   0.35757  
O23  1a     0.70595   0.69216   0.51301   1.00000   0.43890  
O55  1a     0.73723   0.17047   0.51301   1.00000   0.53619  
O25  1a     0.76850   0.64933   0.51301   1.00000   0.63829  
O57  1a     0.79978   0.12818   0.51301   1.00000   0.74582  
O27  1a     0.83099   0.60911   0.51301   1.00000   0.84317  
O59  1a     0.86226   0.09158   0.51301   1.00000   0.93580  
O29  1a     0.89304   0.59321   0.51301   1.00000   0.91435  
O61  1a     0.92411   0.11005   0.51301   1.00000   0.81958  
O31  1a     0.95540   0.62889   0.51301   1.00000   0.72089  
O63  1a     0.98665   0.14965   0.51301   1.00000   0.61312  
O1   1a     0.01792   0.67075   0.51301   1.00000   0.50829  
O33  1a     0.04919   0.19217   0.51301   1.00000   0.40921  
O3   1a     0.08047   0.71361   0.51301   1.00000   0.32495  
O35  1a     0.11174   0.23544   0.51301   1.00000   0.26812  
O5   1a     0.14303   0.75734   0.51301   1.00000   0.26174  
O85  1a     0.19025   0.54500   0.01301   1.00000   0.38390  
O71  1a     0.22153   0.06668   0.01301   1.00000   0.47398  
O87  1a     0.25281   0.58818   0.01301   1.00000   0.57456  
O73  1a     0.28409   0.10929   0.01301   1.00000   0.67974  
O89  1a     0.31535   0.62982   0.01301   1.00000   0.78515  
O75  1a     0.34664   0.14859   0.01301   1.00000   0.88426  
O91  1a     0.37782   0.66006   0.01301   1.00000   0.94280  
O77  1a     0.40898   0.14438   0.01301   1.00000   0.85717  
O93  1a     0.44011   0.62595   0.01301   1.00000   0.75679  
O79  1a     0.47134   0.10583   0.01301   1.00000   0.65287  
O95  1a     0.50260   0.58499   0.01301   1.00000   0.54957  
O66  1a     0.53386   0.06374   0.01301   1.00000   0.45182  
