ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (221 Pm-3m)
a=3.92037, b=3.92037, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Ti1  1b     0.50000   0.50000   0.50000   1.00000
O1   3c     0.00000   0.50000   0.50000   1.00000

Subgroup details
1 P1, basis={(16,-16,0),(1,1,0),(0,0,1)}, origin=(-3.00192,2.00192,0), s=32, i=1536

Undistorted superstructure 
a=88.70785, b=5.54424, c=3.92037, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb6  1a     0.59387   0.55901   0.00000   1.00000   0.33000  
Pb22 1a     0.62512   0.03221   0.00000   1.00000   0.18013  
Pb8  1a     0.65637   0.50417   0.00000   1.00000   0.02332  
Pb24 1a     0.68762  -0.02403   0.00000   1.00000   0.13439  
Pb10 1a     0.71887   0.44869   0.00000   1.00000   0.28694  
Pb26 1a     0.75012  -0.07661   0.00000   1.00000   0.42842  
Pb12 1a     0.78137   0.40103   0.00000   1.00000   0.55348  
Pb28 1a     0.81262  -0.11753   0.00000   1.00000   0.65726  
Pb14 1a     0.84387   0.36843   0.00000   1.00000   0.73578  
Pb30 1a     0.87512  -0.14055   0.00000   1.00000   0.78600  
Pb16 1a     0.90637   0.35587   0.00000   1.00000   0.80602  
Pb32 1a     0.93762  -0.14218   0.00000   1.00000   0.79512  
Pb1  1a     0.96887   0.36524   0.00000   1.00000   0.75362  
Pb17 1a     0.00012  -0.12216   0.00000   1.00000   0.68316  
Pb3  1a     0.03137   0.39513   0.00000   1.00000   0.58647  
Pb19 1a     0.06262  -0.08354   0.00000   1.00000   0.46719  
Pb5  1a     0.09387   0.44099   0.00000   1.00000   0.33000  
Pb21 1a     0.12512  -0.03221   0.00000   1.00000   0.18013  
Ti21 1a     0.15637   0.01517   0.50000   1.00000   0.08484  
Ti7  1a     0.18762   0.54168   0.50000   1.00000   0.23309  
Ti23 1a     0.21887   0.06659   0.50000   1.00000   0.37239  
Ti9  1a     0.25012   0.58894   0.50000   1.00000   0.49738  
Ti25 1a     0.28137   0.10787   0.50000   1.00000   0.60325  
Ti11 1a     0.31262   0.62266   0.50000   1.00000   0.68596  
Ti27 1a     0.34387   0.13273   0.50000   1.00000   0.74227  
Ti13 1a     0.37512   0.63771   0.50000   1.00000   0.77012  
Ti29 1a     0.40637   0.13739   0.50000   1.00000   0.76833  
Ti15 1a     0.43762   0.63179   0.50000   1.00000   0.73701  
Ti31 1a     0.46887   0.12112   0.50000   1.00000   0.67734  
Ti2  1a     0.50012   0.60580   0.50000   1.00000   0.59166  
Ti18 1a     0.53137   0.08642   0.50000   1.00000   0.48329  
Ti4  1a     0.56262   0.56371   0.50000   1.00000   0.35629  
Ti20 1a     0.59387   0.03856   0.50000   1.00000   0.21564  
Ti6  1a     0.62512   0.51192   0.50000   1.00000   0.06666  
Ti22 1a     0.65637  -0.01517   0.50000   1.00000   0.08484  
Ti8  1a     0.68762   0.45832   0.50000   1.00000   0.23309  
Ti24 1a     0.71887  -0.06659   0.50000   1.00000   0.37239  
Ti10 1a     0.75012   0.41106   0.50000   1.00000   0.49738  
Ti26 1a     0.78137  -0.10787   0.50000   1.00000   0.60325  
Ti12 1a     0.81262   0.37734   0.50000   1.00000   0.68596  
Ti28 1a     0.84387  -0.13273   0.50000   1.00000   0.74227  
Ti14 1a     0.87512   0.36229   0.50000   1.00000   0.77012  
Ti30 1a     0.90637  -0.13739   0.50000   1.00000   0.76833  
Ti16 1a     0.93762   0.36821   0.50000   1.00000   0.73701  
Ti32 1a     0.96887  -0.12112   0.50000   1.00000   0.67734  
Ti1  1a     0.00012   0.39420   0.50000   1.00000   0.59166  
Ti17 1a     0.03137  -0.08642   0.50000   1.00000   0.48329  
Ti3  1a     0.06262   0.43629   0.50000   1.00000   0.35629  
Ti19 1a     0.09387  -0.03856   0.50000   1.00000   0.21564  
Ti5  1a     0.12512   0.48808   0.50000   1.00000   0.06666  
O37  1a     0.14051   0.78990   0.50000   1.00000   0.22412  
O7   1a     0.17178   0.31472   0.50000   1.00000   0.36245  
O39  1a     0.20306   0.83705   0.50000   1.00000   0.48709  
O9   1a     0.23434   0.35603   0.50000   1.00000   0.59312  
O41  1a     0.26563   0.87094   0.50000   1.00000   0.67641  
O11  1a     0.29693   0.38120   0.50000   1.00000   0.73374  
O43  1a     0.32822   0.88642   0.50000   1.00000   0.76291  
O13  1a     0.35952   0.38640   0.50000   1.00000   0.76280  
O45  1a     0.39082   0.88114   0.50000   1.00000   0.73341  
O15  1a     0.42211   0.37083   0.50000   1.00000   0.67580  
O47  1a     0.45340   0.85588   0.50000   1.00000   0.59228  
O17  1a     0.48468   0.33687   0.50000   1.00000   0.48609  
O49  1a     0.51596   0.81451   0.50000   1.00000   0.36127  
O19  1a     0.54722   0.28968   0.50000   1.00000   0.22282  
O51  1a     0.57848   0.76332   0.50000   1.00000   0.07740  
O21  1a     0.60973   0.23645   0.50000   1.00000   0.07864  
O53  1a     0.64097   0.71010   0.50000   1.00000   0.22404  
O23  1a     0.67220   0.18528   0.50000   1.00000   0.36240  
O55  1a     0.70342   0.66295   0.50000   1.00000   0.48706  
O25  1a     0.73464   0.14397   0.50000   1.00000   0.59310  
O57  1a     0.76585   0.62906   0.50000   1.00000   0.67640  
